symbol,date,avg_sentiment_score
amazon,2024-01-30,0.0
amazon,2024-01-31,0.22395833333333334
amazon,2024-02-01,0.1805194805194805
amazon,2024-02-02,0.06426767676767677
amazon,2024-02-03,0.3181818181818182
amazon,2024-02-04,0.18333333333333335
amazon,2024-02-05,0.4375
amazon,2024-02-06,0.142547928262214
amazon,2024-02-07,0.13392857142857142
amazon,2024-02-08,0.2380952380952381
amazon,2024-02-09,0.2222222222222222
amazon,2024-02-10,0.3
amazon,2024-02-11,0.011111111111111115
amazon,2024-02-12,0.0
amazon,2024-02-13,0.043777777777777784
amazon,2024-02-14,0.0
amazon,2024-02-15,0.2628968253968254
amazon,2024-02-16,0.4166666666666667
amazon,2024-02-17,0.28409090909090906
amazon,2024-02-19,0.1
amazon,2024-02-20,-0.07777777777777779
amazon,2024-02-21,0.3090909090909091
amazon,2024-02-22,0.37671957671957673
amazon,2024-02-23,0.2644444444444444
amazon,2024-02-25,0.0
amazon,2024-02-26,0.19999999999999998
amazon,2024-02-27,0.5
amazon,2024-02-28,0.04821428571428571
apple,2024-01-30,0.17186147186147188
apple,2024-01-31,0.125
apple,2024-02-01,0.09166666666666667
apple,2024-02-02,0.11515151515151516
apple,2024-02-03,0.26666666666666666
apple,2024-02-04,0.0
apple,2024-02-05,-0.1
apple,2024-02-06,0.05303030303030303
apple,2024-02-07,0.2337121212121212
apple,2024-02-08,0.21944444444444444
apple,2024-02-09,-0.13333333333333333
apple,2024-02-10,0.07954545454545454
apple,2024-02-12,0.0446969696969697
apple,2024-02-13,0.1886904761904762
apple,2024-02-14,0.18363636363636365
apple,2024-02-15,0.024999999999999994
apple,2024-02-16,0.25833333333333336
apple,2024-02-17,-0.04444444444444446
apple,2024-02-18,0.4166666666666667
apple,2024-02-20,0.0
apple,2024-02-21,0.3181818181818182
apple,2024-02-22,-0.06666666666666667
apple,2024-02-23,0.22916666666666666
apple,2024-02-24,0.43333333333333335
apple,2024-02-26,0.0
apple,2024-02-27,-0.05
apple,2024-02-28,-0.04
google,2024-01-30,-0.05000000000000001
google,2024-01-31,0.1393939393939394
google,2024-02-01,-0.023809523809523808
google,2024-02-02,0.19602272727272727
google,2024-02-05,0.16666666666666666
google,2024-02-06,0.0
google,2024-02-07,0.10909090909090909
google,2024-02-08,0.2382440476190476
google,2024-02-09,0.0
google,2024-02-10,0.0
google,2024-02-12,-0.015909090909090914
google,2024-02-13,0.06818181818181818
google,2024-02-14,-0.02916666666666667
google,2024-02-15,0.07954545454545454
google,2024-02-16,0.35
google,2024-02-17,0.06818181818181818
google,2024-02-20,0.0
google,2024-02-21,0.04090909090909091
google,2024-02-22,0.07293650793650794
google,2024-02-23,-0.056172839506172835
google,2024-02-24,0.0
google,2024-02-26,0.0
google,2024-02-27,0.05
google,2024-02-28,-0.075
microsoft,2024-01-30,-0.016666666666666666
microsoft,2024-01-31,-0.0012396694214876062
microsoft,2024-02-01,0.2727272727272727
microsoft,2024-02-02,0.2
microsoft,2024-02-03,0.0
microsoft,2024-02-04,0.0
microsoft,2024-02-05,0.0
microsoft,2024-02-06,0.0
microsoft,2024-02-07,0.17272727272727273
microsoft,2024-02-08,0.06984126984126984
microsoft,2024-02-09,0.10367965367965366
microsoft,2024-02-10,0.5
microsoft,2024-02-12,0.20208333333333334
microsoft,2024-02-13,-0.026363636363636367
microsoft,2024-02-14,0.135
microsoft,2024-02-15,0.018939393939393936
microsoft,2024-02-16,0.0
microsoft,2024-02-17,0.0
microsoft,2024-02-19,-0.00833333333333334
microsoft,2024-02-20,0.0
microsoft,2024-02-21,-0.1
microsoft,2024-02-22,0.0
microsoft,2024-02-26,-0.046753246753246755
microsoft,2024-02-27,-0.02727272727272727
microsoft,2024-02-28,0.0
tesla,2024-01-30,0.0
tesla,2024-01-31,0.059318181818181825
tesla,2024-02-01,0.17142857142857143
tesla,2024-02-02,0.031715506715506714
tesla,2024-02-03,0.2
tesla,2024-02-04,-0.016666666666666663
tesla,2024-02-05,0.1875
tesla,2024-02-06,-0.23750000000000004
tesla,2024-02-07,0.008333333333333333
tesla,2024-02-08,0.2
tesla,2024-02-09,-0.04166666666666664
tesla,2024-02-10,0.0
tesla,2024-02-12,0.11666666666666667
tesla,2024-02-13,0.2
tesla,2024-02-14,0.06
tesla,2024-02-15,-0.03377525252525252
tesla,2024-02-16,0.225
tesla,2024-02-19,0.0
tesla,2024-02-20,0.25
tesla,2024-02-21,-0.0625
tesla,2024-02-22,0.3125
tesla,2024-02-23,0.0
tesla,2024-02-24,0.25
tesla,2024-02-25,0.330952380952381
tesla,2024-02-26,0.0
tesla,2024-02-27,-0.046875
tesla,2024-02-28,0.013636363636363636
