symbol,Date,Open,High,Low,Volume,avg_sentiment_score
AAPL,2024-01-30,190.94000244140625,191.8000030517578,187.47000122070312,55859400,0.1718614718614718
AAPL,2024-01-31,187.0399932861328,187.10000610351562,184.35000610351562,55467800,0.125
AAPL,2024-02-01,183.99000549316406,186.9499969482422,183.82000732421875,64885400,0.0916666666666666
AAPL,2024-02-02,179.86000061035156,187.3300018310547,179.25,102518000,0.1151515151515151
AAPL,2024-02-05,188.14999389648438,189.25,185.83999633789062,69668800,-0.1
AAPL,2024-02-06,186.86000061035156,189.30999755859375,186.77000427246094,43490800,0.053030303030303
AAPL,2024-02-07,190.63999938964844,191.0500030517578,188.61000061035156,53439000,0.2337121212121212
AAPL,2024-02-08,189.38999938964844,189.5399932861328,187.35000610351562,40962000,0.2194444444444444
AAPL,2024-02-09,188.64999389648438,189.99000549316406,188.0,45155200,-0.1333333333333333
AAPL,2024-02-12,188.4199981689453,188.6699981689453,186.7899932861328,41781900,0.0446969696969697
AAPL,2024-02-13,185.77000427246094,186.2100067138672,183.50999450683594,56529500,0.1886904761904762
AAPL,2024-02-14,185.32000732421875,185.52999877929688,182.44000244140625,54630500,0.1836363636363636
AAPL,2024-02-15,183.5500030517578,184.49000549316406,181.35000610351562,65434500,0.0249999999999999
AAPL,2024-02-16,183.4199981689453,184.85000610351562,181.6699981689453,49701400,0.2583333333333333
AAPL,2024-02-20,181.7899932861328,182.42999267578125,180.0,53665600,0.0
AAPL,2024-02-21,181.94000244140625,182.88999938964844,180.66000366210938,41529700,0.3181818181818182
AAPL,2024-02-22,183.47999572753906,184.9600067138672,182.4600067138672,52292200,-0.0666666666666666
AAPL,2024-02-23,185.00999450683594,185.0399932861328,182.22999572753906,45074500,0.2291666666666666
AAPL,2024-02-26,182.24000549316406,182.75999450683594,180.64999389648438,40867400,0.0
AAPL,2024-02-27,181.10000610351562,183.9199981689453,179.55999755859375,54318900,-0.05
AAPL,2024-02-28,182.50999450683594,183.1199951171875,180.1300048828125,48894200,-0.04
GOOGL,2024-01-30,152.8000030517578,153.6199951171875,151.19000244140625,36331800,-0.05
GOOGL,2024-01-31,143.6199951171875,144.0,139.8699951171875,71910000,0.1393939393939394
